Emisii_Totale_tone_CO2,Intrebarea_0,Intrebarea_1,Intrebarea_2,Intrebarea_3,Intrebarea_4,Intrebarea_5,Intrebarea_6,Intrebarea_7,Intrebarea_8,Intrebarea_9,Intrebarea_10,Intrebarea_11,Intrebarea_12,Intrebarea_13,Intrebarea_14,Intrebarea_15,Intrebarea_16,Intrebarea_17,Intrebarea_18,Intrebarea_19,Intrebarea_20,Intrebarea_21,Intrebarea_22,Intrebarea_23,Intrebarea_24,Intrebarea_25,Intrebarea_26,Intrebarea_27,Intrebarea_28
2.5,4,Centrală proprie,120,70,,,,,0,110,110,110,Nu,,,,0,Zilnic,4,Da,2,Foarte des,10,0,Rareori,4,Trimestrial,2,Nu
3.9,3,Individual (gas) boiler,11,6,,,,,27,35,50,50,Yes,Combustibil fosil,1000,3,1,Never,4,Yes,3,Often,6,0,Sometimes,10,Monthly,15,Yes
5.9,1,Centrală proprie,125,30,,,,,0,70,110,100,Da,Combustibil fosil,4000,1,13,Zilnic,1,Da,1,Foarte des,10,0,Uneori,25,Lunar,1,Nu
7.4,3,Centralizat,,,75,6,30,,50,1000,2000,1000,Nu,,,,0,Zilnic,10,Da,4,Foarte des,18,1,Frecvent,14,Trimestrial,10,Nu
7.5,2,Centralizat,,,35,20,1,,0,1700,400,1000,Nu,,,,0,Zilnic,2,Da,2,Uneori,18,1,Rareori,20,Trimestrial,4,Da
10.5,4,Centrală proprie,200,10,,,,,0,30,30,30,Da,Combustibil fosil,100000,2,0,Frecvent,14,Da,20,Foarte des,7,0,Uneori,7,Trimestrial,7,Nu
8.2,3,Centralizat,,,48,24,20,,0,1200,700,900,Da,Combustibil fosil,15000,2,20,Zilnic,2,Da,1,Foarte des,14,2,Rareori,21,Anual,4,Da
5.8,1,Centrală proprie,30,10,,,,,0,60,40,50,Da,Combustibil fosil,20000,4,4,Zilnic,3,Nu,,Des,18,3,Uneori,5,Anual,3,Nu
3.3,4,Individual (gas) boiler,80,35,,,,,32,320,260,190,Yes,Hibrid,16000,4,5,Never,5,Yes,1,Very Often,6,1,Sometimes,15,Monthly,2,Yes
2.7,2,Individual (gas) boiler,200,10,,,,,0,70,140,100,No,,,,0,Sometimes,5,No,,Sometimes,4,0,Sometimes,4,Annual,2,Yes
4.4,3,Individual (gas) boiler,80,40,,,,,0,180,300,200,No,,,,0,Sometimes,3,Yes,1,Very Often,3,0,Rareori,2,Quarterly,20,No
3.4,3,Individual (gas) boiler,135,20,,,,,0,125,125,125,No,,,,10,Daily,6,Yes,1,Very Often,5,1,Sometimes,15,Monthly,0,Yes
4.6,6,District (central) heating,,,10,10,3,,0,35,2500,35,No,,,,3,Daily,2,Yes,15,Often,2,2,Sometimes,20,Monthly,10,No
4.7,5,District (central) heating,,,96,33,67,,35,1680,4050,2549,Yes,Combustibil fosil,14000,5,0,Sometimes,2,Yes,1,Often,7,1,Rareori,8,Monthly,3,Yes
0.9,4,Individual (gas) boiler,10,5,,,,,0,30,36,35,No,,,,1,Sometimes,3,Yes,2,Often,2,0,Sometimes,2,Annual,1,No
13.5,1,District (central) heating,,,200,5,10,,100,200,700,500,Yes,Combustibil fosil,10000,3,30,Sometimes,1,No,,Often,15,4,Often,18,Weekly,12,Yes
6.4,1,District (central) heating,,,42,5,10,,50,300,500,400,No,,,,0,Sometimes,1,Yes,10,Sometimes,2,2,Sometimes,5,Quarterly,5,Yes
5.1,2,Centralizat,,,70,5,20,,90,130,120,100,Nu,,,,10,Frecvent,3,Da,1,Des,11,3,Frecvent,5,Lunar,2,Nu
2.8,5,Individual (gas) boiler,170,20,,,,,0,50,400,100,No,,,,4,Daily,2,Yes,1,Very Often,6,1,Never,15,Monthly,2,Yes
2.7,4,Stove and bottled gas (LPG cylinder),,,,,5,1000,0,200,500,300,No,,,,0,Daily,2,No,,Often,4,1,Sometimes,12,Quarterly,1,Yes
3.6,3,Centrală proprie,200,25,,,,,0,190,160,175,Da,Combustibil fosil,15000,2,7,Zilnic,5,Da,1,Uneori,3,0,Rareori,2,Lunar,1,Nu
